订单号,下单时间,渠道,菜品名称,数量,实收金额
QZ-20260613-16,2026-06-13 10:24:00,美团外卖,小酥肉,1,21.32
QZ-20260613-17,2026-06-13 18:31:00,饿了么,卤蛋,1,2.46
QZ-20260613-18,2026-06-13 19:38:00,堂食,冰豆浆,1,6
QZ-20260613-19,2026-06-13 20:45:00,堂食,柠檬茶,1,10
QZ-20260613-20,2026-06-13 21:52:00,堂食,双人套餐,1,68
QZ-20260613-21,2026-06-13 11:59:00,美团外卖,招牌牛肉面,1,32
QZ-20260613-22,2026-06-13 12:06:00,饿了么,红烧肥肠面,1,29.52
QZ-20260613-23,2026-06-13 13:13:00,堂食,番茄鸡蛋面,2,48
QZ-20260613-24,2026-06-13 10:20:00,堂食,酸辣粉,1,20
QZ-20260613-25,2026-06-13 11:27:00,堂食,招牌拌面,1,28
QZ-20260613-26,2026-06-13 12:34:00,美团外卖,小酥肉,1,21.32
QZ-20260613-27,2026-06-13 20:41:00,饿了么,卤蛋,1,3
QZ-20260613-28,2026-06-13 17:48:00,堂食,冰豆浆,1,6
QZ-20260613-29,2026-06-13 18:55:00,堂食,柠檬茶,1,10
QZ-20260614-01,2026-06-14 12:42:00,饿了么,招牌牛肉面,2,52.48
QZ-20260614-02,2026-06-14 13:49:00,堂食,红烧肥肠面,1,36
QZ-20260614-03,2026-06-14 10:56:00,堂食,番茄鸡蛋面,1,24
QZ-20260614-04,2026-06-14 11:03:00,堂食,酸辣粉,1,20
QZ-20260614-05,2026-06-14 12:10:00,美团外卖,招牌拌面,1,28
QZ-20260614-06,2026-06-14 13:17:00,饿了么,小酥肉,1,21.32
QZ-20260614-07,2026-06-14 17:24:00,堂食,卤蛋,1,3
QZ-20260614-08,2026-06-14 18:31:00,堂食,冰豆浆,1,6
QZ-20260614-09,2026-06-14 19:38:00,堂食,柠檬茶,1,10
QZ-20260614-10,2026-06-14 21:45:00,美团外卖,双人套餐,1,55.76
QZ-20260614-11,2026-06-14 10:52:00,饿了么,招牌牛肉面,1,32
QZ-20260614-12,2026-06-14 11:59:00,堂食,红烧肥肠面,2,72
QZ-20260614-13,2026-06-14 12:06:00,堂食,番茄鸡蛋面,1,21.6
QZ-20260614-14,2026-06-14 13:13:00,堂食,酸辣粉,1,20
QZ-20260614-15,2026-06-14 10:20:00,美团外卖,招牌拌面,1,22.96
QZ-20260614-16,2026-06-14 11:27:00,饿了么,小酥肉,1,21.32
QZ-20260614-17,2026-06-14 19:34:00,堂食,卤蛋,1,3
QZ-20260614-18,2026-06-14 20:41:00,堂食,冰豆浆,1,6
QZ-20260614-19,2026-06-14 17:48:00,堂食,柠檬茶,1,10
QZ-20260614-20,2026-06-14 21:55:00,美团外卖,双人套餐,1,68
QZ-20260614-21,2026-06-14 12:02:00,饿了么,招牌牛肉面,1,26.24
QZ-20260614-22,2026-06-14 13:09:00,堂食,红烧肥肠面,1,36
QZ-20260614-23,2026-06-14 10:16:00,堂食,番茄鸡蛋面,2,48
QZ-20260614-24,2026-06-14 11:23:00,堂食,酸辣粉,1,20
QZ-20260614-25,2026-06-14 12:30:00,美团外卖,招牌拌面,1,22.96
QZ-20260614-26,2026-06-14 13:37:00,饿了么,小酥肉,1,26
QZ-20260614-27,2026-06-14 17:44:00,堂食,卤蛋,1,3
QZ-20260614-28,2026-06-14 18:51:00,堂食,冰豆浆,1,6
QZ-20260614-29,2026-06-14 19:58:00,堂食,柠檬茶,1,10
QZ-20260614-30,2026-06-14 21:05:00,美团外卖,双人套餐,1,55.76
QZ-20260615-01,2026-06-15 13:45:00,堂食,招牌牛肉面,2,64
QZ-20260615-02,2026-06-15 10:52:00,堂食,红烧肥肠面,1,36
QZ-20260615-03,2026-06-15 11:59:00,堂食,番茄鸡蛋面,1,24
QZ-20260615-04,2026-06-15 12:06:00,美团外卖,酸辣粉,1,20
QZ-20260615-05,2026-06-15 13:13:00,饿了么,招牌拌面,1,22.96
QZ-20260615-06,2026-06-15 10:20:00,堂食,小酥肉,1,26
QZ-20260615-07,2026-06-15 18:27:00,堂食,卤蛋,1,3
QZ-20260615-08,2026-06-15 19:34:00,堂食,冰豆浆,1,6
QZ-20260615-09,2026-06-15 20:41:00,美团外卖,柠檬茶,1,8.2
QZ-20260615-10,2026-06-15 21:48:00,饿了么,双人套餐,1,68
QZ-20260615-11,2026-06-15 11:55:00,堂食,招牌牛肉面,1,32
QZ-20260615-12,2026-06-15 12:02:00,堂食,红烧肥肠面,2,64.8
QZ-20260615-13,2026-06-15 13:09:00,堂食,番茄鸡蛋面,1,24
QZ-20260615-14,2026-06-15 10:16:00,美团外卖,酸辣粉,1,16.4
QZ-20260615-15,2026-06-15 11:23:00,饿了么,招牌拌面,1,22.96
QZ-20260615-16,2026-06-15 12:30:00,堂食,小酥肉,1,26
QZ-20260615-17,2026-06-15 20:37:00,堂食,卤蛋,1,3
QZ-20260615-18,2026-06-15 17:44:00,堂食,冰豆浆,1,6
QZ-20260615-19,2026-06-15 18:51:00,美团外卖,柠檬茶,1,10
QZ-20260615-20,2026-06-15 21:58:00,饿了么,双人套餐,1,55.76
QZ-20260615-21,2026-06-15 13:05:00,堂食,招牌牛肉面,1,32
QZ-20260615-22,2026-06-15 10:12:00,堂食,红烧肥肠面,1,36
QZ-20260615-23,2026-06-15 11:19:00,堂食,番茄鸡蛋面,2,48
QZ-20260615-24,2026-06-15 12:26:00,美团外卖,酸辣粉,1,16.4
QZ-20260615-25,2026-06-15 13:33:00,饿了么,招牌拌面,1,28
QZ-20260615-26,2026-06-15 10:40:00,堂食,小酥肉,1,26
QZ-20260616-01,2026-06-16 10:48:00,堂食,招牌牛肉面,2,64
QZ-20260616-02,2026-06-16 11:55:00,堂食,红烧肥肠面,1,36
QZ-20260616-03,2026-06-16 12:02:00,美团外卖,番茄鸡蛋面,1,24
QZ-20260616-04,2026-06-16 13:09:00,饿了么,酸辣粉,1,15
QZ-20260616-05,2026-06-16 10:16:00,堂食,招牌拌面,1,28
QZ-20260616-06,2026-06-16 11:23:00,堂食,小酥肉,1,26
QZ-20260616-07,2026-06-16 19:30:00,堂食,卤蛋,1,3
QZ-20260616-08,2026-06-16 20:37:00,美团外卖,冰豆浆,1,4.5
QZ-20260616-09,2026-06-16 17:44:00,饿了么,柠檬茶,1,10
QZ-20260616-10,2026-06-16 21:51:00,堂食,双人套餐,1,68
QZ-20260616-11,2026-06-16 12:58:00,堂食,招牌牛肉面,1,28.8
QZ-20260616-12,2026-06-16 13:05:00,堂食,红烧肥肠面,2,72
QZ-20260616-13,2026-06-16 10:12:00,美团外卖,番茄鸡蛋面,1,18
QZ-20260616-14,2026-06-16 11:19:00,饿了么,酸辣粉,1,15
QZ-20260616-15,2026-06-16 12:26:00,堂食,招牌拌面,1,28
QZ-20260616-16,2026-06-16 13:33:00,堂食,小酥肉,1,26
QZ-20260616-17,2026-06-16 17:40:00,堂食,卤蛋,1,3
QZ-20260617-01,2026-06-17 11:51:00,堂食,招牌牛肉面,2,64
QZ-20260617-02,2026-06-17 12:58:00,美团外卖,红烧肥肠面,1,36
QZ-20260617-03,2026-06-17 13:05:00,饿了么,番茄鸡蛋面,1,18
QZ-20260617-04,2026-06-17 10:12:00,堂食,酸辣粉,1,20
QZ-20260617-05,2026-06-17 11:19:00,堂食,招牌拌面,1,28
QZ-20260617-06,2026-06-17 12:26:00,堂食,小酥肉,1,26
QZ-20260617-07,2026-06-17 20:33:00,美团外卖,卤蛋,1,2.25
QZ-20260617-08,2026-06-17 17:40:00,饿了么,冰豆浆,1,6
QZ-20260617-09,2026-06-17 18:47:00,堂食,柠檬茶,1,10
QZ-20260617-10,2026-06-17 21:54:00,堂食,双人套餐,1,61.2
QZ-20260617-11,2026-06-17 13:01:00,堂食,招牌牛肉面,1,32
QZ-20260617-12,2026-06-17 10:08:00,美团外卖,红烧肥肠面,2,54
QZ-20260617-13,2026-06-17 11:15:00,饿了么,番茄鸡蛋面,1,18
QZ-20260617-14,2026-06-17 12:22:00,堂食,酸辣粉,1,20
QZ-20260617-15,2026-06-17 13:29:00,堂食,招牌拌面,1,28
QZ-20260617-16,2026-06-17 10:36:00,堂食,小酥肉,1,26
QZ-20260617-17,2026-06-17 18:43:00,美团外卖,卤蛋,1,3
QZ-20260617-18,2026-06-17 19:50:00,饿了么,冰豆浆,1,4.5
QZ-20260618-01,2026-06-18 12:54:00,美团外卖,招牌牛肉面,2,64
QZ-20260618-02,2026-06-18 13:01:00,饿了么,红烧肥肠面,1,27
QZ-20260618-03,2026-06-18 10:08:00,堂食,番茄鸡蛋面,1,24
QZ-20260618-04,2026-06-18 11:15:00,堂食,酸辣粉,1,20
QZ-20260618-05,2026-06-18 12:22:00,堂食,招牌拌面,1,28
QZ-20260618-06,2026-06-18 13:29:00,美团外卖,小酥肉,1,19.5
QZ-20260618-07,2026-06-18 17:36:00,饿了么,卤蛋,1,3
QZ-20260618-08,2026-06-18 18:43:00,堂食,冰豆浆,1,6
QZ-20260618-09,2026-06-18 19:50:00,堂食,柠檬茶,1,9
QZ-20260618-10,2026-06-18 21:57:00,堂食,双人套餐,1,68
QZ-20260618-11,2026-06-18 10:04:00,美团外卖,招牌牛肉面,1,24
QZ-20260618-12,2026-06-18 11:11:00,饿了么,红烧肥肠面,2,54
QZ-20260618-13,2026-06-18 12:18:00,堂食,番茄鸡蛋面,1,24
QZ-20260618-14,2026-06-18 13:25:00,堂食,酸辣粉,1,20
QZ-20260618-15,2026-06-18 10:32:00,堂食,招牌拌面,1,28
QZ-20260618-16,2026-06-18 11:39:00,美团外卖,小酥肉,1,26
QZ-20260618-17,2026-06-18 19:46:00,饿了么,卤蛋,1,2.25
QZ-20260618-18,2026-06-18 20:53:00,堂食,冰豆浆,1,6
QZ-20260618-19,2026-06-18 17:00:00,堂食,柠檬茶,1,10
QZ-20260619-01,2026-06-19 13:57:00,饿了么,招牌牛肉面,2,48
QZ-20260619-02,2026-06-19 10:04:00,堂食,红烧肥肠面,1,36
QZ-20260619-03,2026-06-19 11:11:00,堂食,番茄鸡蛋面,1,24
QZ-20260619-04,2026-06-19 12:18:00,堂食,酸辣粉,1,20
QZ-20260619-05,2026-06-19 13:25:00,美团外卖,招牌拌面,1,21
QZ-20260619-06,2026-06-19 10:32:00,饿了么,小酥肉,1,26
QZ-20260619-07,2026-06-19 18:39:00,堂食,卤蛋,1,3
QZ-20260619-08,2026-06-19 19:46:00,堂食,冰豆浆,1,5.4
QZ-20260619-09,2026-06-19 20:53:00,堂食,柠檬茶,1,10
QZ-20260619-10,2026-06-19 21:00:00,美团外卖,双人套餐,1,51
QZ-20260619-11,2026-06-19 11:07:00,饿了么,招牌牛肉面,1,24
QZ-20260619-12,2026-06-19 12:14:00,堂食,红烧肥肠面,2,72
QZ-20260619-13,2026-06-19 13:21:00,堂食,番茄鸡蛋面,1,24
QZ-20260619-14,2026-06-19 10:28:00,堂食,酸辣粉,1,20
QZ-20260619-15,2026-06-19 11:35:00,美团外卖,招牌拌面,1,28
QZ-20260619-16,2026-06-19 12:42:00,饿了么,小酥肉,1,19.5
QZ-20260619-17,2026-06-19 20:49:00,堂食,卤蛋,1,3
QZ-20260619-18,2026-06-19 17:56:00,堂食,冰豆浆,1,6
QZ-20260619-19,2026-06-19 18:03:00,堂食,柠檬茶,1,10
QZ-20260619-20,2026-06-19 21:10:00,美团外卖,双人套餐,1,51
QZ-20260620-01,2026-06-20 10:00:00,堂食,招牌牛肉面,2,64
QZ-20260620-02,2026-06-20 11:07:00,堂食,红烧肥肠面,1,36
QZ-20260620-03,2026-06-20 12:14:00,堂食,番茄鸡蛋面,1,24
QZ-20260620-04,2026-06-20 13:21:00,美团外卖,酸辣粉,1,15
QZ-20260620-05,2026-06-20 10:28:00,饿了么,招牌拌面,1,28
QZ-20260620-06,2026-06-20 11:35:00,堂食,小酥肉,1,26
QZ-20260620-07,2026-06-20 19:42:00,堂食,卤蛋,1,2.7
QZ-20260620-08,2026-06-20 20:49:00,堂食,冰豆浆,1,6
QZ-20260620-09,2026-06-20 17:56:00,美团外卖,柠檬茶,1,7.5
QZ-20260620-10,2026-06-20 21:03:00,饿了么,双人套餐,1,51
QZ-20260620-11,2026-06-20 12:10:00,堂食,招牌牛肉面,1,32
QZ-20260620-12,2026-06-20 13:17:00,堂食,红烧肥肠面,2,72
QZ-20260620-13,2026-06-20 10:24:00,堂食,番茄鸡蛋面,1,24
QZ-20260620-14,2026-06-20 11:31:00,美团外卖,酸辣粉,1,20
QZ-20260620-15,2026-06-20 12:38:00,饿了么,招牌拌面,1,21
QZ-20260620-16,2026-06-20 13:45:00,堂食,小酥肉,1,26
QZ-20260620-17,2026-06-20 17:52:00,堂食,卤蛋,1,3
QZ-20260621-01,2026-06-21 11:03:00,堂食,招牌牛肉面,2,64
QZ-20260621-02,2026-06-21 12:10:00,堂食,红烧肥肠面,1,36
QZ-20260621-03,2026-06-21 13:17:00,美团外卖,番茄鸡蛋面,1,18
QZ-20260621-04,2026-06-21 10:24:00,饿了么,酸辣粉,1,20
QZ-20260621-05,2026-06-21 11:31:00,堂食,招牌拌面,1,28
QZ-20260621-06,2026-06-21 12:38:00,堂食,小酥肉,1,23.4
QZ-20260621-07,2026-06-21 20:45:00,堂食,卤蛋,1,3
QZ-20260621-08,2026-06-21 17:52:00,美团外卖,冰豆浆,1,4.5
QZ-20260621-09,2026-06-21 18:59:00,饿了么,柠檬茶,1,7.5
QZ-20260621-10,2026-06-21 21:06:00,堂食,双人套餐,1,68
QZ-20260621-11,2026-06-21 13:13:00,堂食,招牌牛肉面,1,32
QZ-20260621-12,2026-06-21 10:20:00,堂食,红烧肥肠面,2,72
QZ-20260621-13,2026-06-21 11:27:00,美团外卖,番茄鸡蛋面,1,24
QZ-20260621-14,2026-06-21 12:34:00,饿了么,酸辣粉,1,15
QZ-20260621-15,2026-06-21 13:41:00,堂食,招牌拌面,1,28
QZ-20260621-16,2026-06-21 10:48:00,堂食,小酥肉,1,26
QZ-20260621-17,2026-06-21 18:55:00,堂食,卤蛋,1,3
QZ-20260621-18,2026-06-21 19:02:00,美团外卖,冰豆浆,1,4.5
QZ-20260622-01,2026-06-22 12:06:00,堂食,招牌牛肉面,2,64
QZ-20260622-02,2026-06-22 13:13:00,美团外卖,红烧肥肠面,1,27
QZ-20260622-03,2026-06-22 10:20:00,饿了么,番茄鸡蛋面,1,24
QZ-20260622-04,2026-06-22 11:27:00,堂食,酸辣粉,1,20
QZ-20260622-05,2026-06-22 12:34:00,堂食,招牌拌面,1,25.2
QZ-20260622-06,2026-06-22 13:41:00,堂食,小酥肉,1,26
QZ-20260622-07,2026-06-22 17:48:00,美团外卖,卤蛋,1,2.25
QZ-20260622-08,2026-06-22 18:55:00,饿了么,冰豆浆,1,4.5
QZ-20260622-09,2026-06-22 19:02:00,堂食,柠檬茶,1,10
QZ-20260622-10,2026-06-22 21:09:00,堂食,双人套餐,1,68
QZ-20260622-11,2026-06-22 10:16:00,堂食,招牌牛肉面,1,32
QZ-20260622-12,2026-06-22 11:23:00,美团外卖,红烧肥肠面,2,72
QZ-20260622-13,2026-06-22 12:30:00,饿了么,番茄鸡蛋面,1,18
QZ-20260622-14,2026-06-22 13:37:00,堂食,酸辣粉,1,20
QZ-20260622-15,2026-06-22 10:44:00,堂食,招牌拌面,1,28
QZ-20260622-16,2026-06-22 11:51:00,堂食,小酥肉,1,26
QZ-20260622-17,2026-06-22 19:58:00,美团外卖,卤蛋,1,2.25
QZ-20260622-18,2026-06-22 20:05:00,饿了么,冰豆浆,1,6
QZ-20260622-19,2026-06-22 17:12:00,堂食,柠檬茶,1,10
QZ-20260623-01,2026-06-23 13:09:00,美团外卖,招牌牛肉面,2,48
QZ-20260623-02,2026-06-23 10:16:00,饿了么,红烧肥肠面,1,36
QZ-20260623-03,2026-06-23 11:23:00,堂食,番茄鸡蛋面,1,24
QZ-20260623-04,2026-06-23 12:30:00,堂食,酸辣粉,1,18
QZ-20260623-05,2026-06-23 13:37:00,堂食,招牌拌面,1,28
QZ-20260623-06,2026-06-23 10:44:00,美团外卖,小酥肉,1,19.5
QZ-20260623-07,2026-06-23 18:51:00,饿了么,卤蛋,1,2.25
QZ-20260623-08,2026-06-23 19:58:00,堂食,冰豆浆,1,6
QZ-20260623-09,2026-06-23 20:05:00,堂食,柠檬茶,1,10
QZ-20260623-10,2026-06-23 21:12:00,堂食,双人套餐,1,68
QZ-20260623-11,2026-06-23 11:19:00,美团外卖,招牌牛肉面,1,32
QZ-20260623-12,2026-06-23 12:26:00,饿了么,红烧肥肠面,2,54
QZ-20260623-13,2026-06-23 13:33:00,堂食,番茄鸡蛋面,1,24
QZ-20260623-14,2026-06-23 10:40:00,堂食,酸辣粉,1,20
QZ-20260623-15,2026-06-23 11:47:00,堂食,招牌拌面,1,28
QZ-20260623-16,2026-06-23 12:54:00,美团外卖,小酥肉,1,19.5
QZ-20260623-17,2026-06-23 20:01:00,饿了么,卤蛋,1,3
QZ-20260623-18,2026-06-23 17:08:00,堂食,冰豆浆,1,6
QZ-20260623-19,2026-06-23 18:15:00,堂食,柠檬茶,1,10
QZ-20260623-20,2026-06-23 21:22:00,堂食,双人套餐,1,68
QZ-20260624-01,2026-06-24 10:12:00,饿了么,招牌牛肉面,1,32
QZ-20260625-01,2026-06-25 11:15:00,堂食,招牌牛肉面,2,64
QZ-20260625-02,2026-06-25 12:22:00,堂食,红烧肥肠面,1,32.4
QZ-20260625-03,2026-06-25 13:29:00,堂食,番茄鸡蛋面,1,24
QZ-20260625-04,2026-06-25 10:36:00,美团外卖,酸辣粉,1,15
QZ-20260625-05,2026-06-25 11:43:00,饿了么,招牌拌面,1,21
QZ-20260625-06,2026-06-25 12:50:00,堂食,小酥肉,1,26
QZ-20260625-07,2026-06-25 20:57:00,堂食,卤蛋,1,3
QZ-20260625-08,2026-06-25 17:04:00,堂食,冰豆浆,1,6
QZ-20260625-09,2026-06-25 18:11:00,美团外卖,柠檬茶,1,10
QZ-20260625-10,2026-06-25 21:18:00,饿了么,双人套餐,1,51
QZ-20260625-11,2026-06-25 13:25:00,堂食,招牌牛肉面,1,32
QZ-20260625-12,2026-06-25 10:32:00,堂食,红烧肥肠面,2,72
QZ-20260625-13,2026-06-25 11:39:00,堂食,番茄鸡蛋面,1,24
QZ-20260625-14,2026-06-25 12:46:00,美团外卖,酸辣粉,1,15
QZ-20260625-15,2026-06-25 13:53:00,饿了么,招牌拌面,1,28
QZ-20260625-16,2026-06-25 10:00:00,堂食,小酥肉,1,26
QZ-20260625-17,2026-06-25 18:07:00,堂食,卤蛋,1,3
QZ-20260625-18,2026-06-25 19:14:00,堂食,冰豆浆,1,6
QZ-20260626-01,2026-06-26 12:18:00,堂食,招牌牛肉面,2,57.6
QZ-20260626-02,2026-06-26 13:25:00,堂食,红烧肥肠面,1,36
QZ-20260626-03,2026-06-26 10:32:00,美团外卖,番茄鸡蛋面,1,18
QZ-20260626-04,2026-06-26 11:39:00,饿了么,酸辣粉,1,15
QZ-20260626-05,2026-06-26 12:46:00,堂食,招牌拌面,1,28
QZ-20260626-06,2026-06-26 13:53:00,堂食,小酥肉,1,26
QZ-20260626-07,2026-06-26 17:00:00,堂食,卤蛋,1,3
QZ-20260626-08,2026-06-26 18:07:00,美团外卖,冰豆浆,1,6
QZ-20260626-09,2026-06-26 19:14:00,饿了么,柠檬茶,1,7.5
QZ-20260626-10,2026-06-26 21:21:00,堂食,双人套餐,1,68
QZ-20260626-11,2026-06-26 10:28:00,堂食,招牌牛肉面,1,32
QZ-20260626-12,2026-06-26 11:35:00,堂食,红烧肥肠面,2,72
QZ-20260626-13,2026-06-26 12:42:00,美团外卖,番茄鸡蛋面,1,18
QZ-20260626-14,2026-06-26 13:49:00,饿了么,酸辣粉,1,20
QZ-20260626-15,2026-06-26 10:56:00,堂食,招牌拌面,1,28
QZ-20260626-16,2026-06-26 11:03:00,堂食,小酥肉,1,26
QZ-20260626-17,2026-06-26 19:10:00,堂食,卤蛋,1,3
QZ-20260626-18,2026-06-26 20:17:00,美团外卖,冰豆浆,1,4.5
QZ-20260626-19,2026-06-26 17:24:00,饿了么,柠檬茶,1,7.5
QZ-20260627-01,2026-06-27 13:21:00,堂食,招牌牛肉面,2,64
QZ-20260627-02,2026-06-27 10:28:00,美团外卖,红烧肥肠面,1,27
QZ-20260627-03,2026-06-27 11:35:00,饿了么,番茄鸡蛋面,1,18
QZ-20260627-04,2026-06-27 12:42:00,堂食,酸辣粉,1,20
QZ-20260627-05,2026-06-27 13:49:00,堂食,招牌拌面,1,28
QZ-20260627-06,2026-06-27 10:56:00,堂食,小酥肉,1,26
QZ-20260627-07,2026-06-27 18:03:00,美团外卖,卤蛋,1,3
QZ-20260627-08,2026-06-27 19:10:00,饿了么,冰豆浆,1,4.5
QZ-20260627-09,2026-06-27 20:17:00,堂食,柠檬茶,1,10
QZ-20260627-10,2026-06-27 21:24:00,堂食,双人套餐,1,68
QZ-20260627-11,2026-06-27 11:31:00,堂食,招牌牛肉面,1,32
QZ-20260627-12,2026-06-27 12:38:00,美团外卖,红烧肥肠面,2,54
QZ-20260627-13,2026-06-27 13:45:00,饿了么,番茄鸡蛋面,1,24
QZ-20260627-14,2026-06-27 10:52:00,堂食,酸辣粉,1,20
QZ-20260627-15,2026-06-27 11:59:00,堂食,招牌拌面,1,28
QZ-20260627-16,2026-06-27 12:06:00,堂食,小酥肉,1,26
QZ-20260627-17,2026-06-27 20:13:00,美团外卖,卤蛋,1,2.25
QZ-20260627-18,2026-06-27 17:20:00,饿了么,冰豆浆,1,4.5
QZ-20260627-19,2026-06-27 18:27:00,堂食,柠檬茶,1,10
QZ-20260627-20,2026-06-27 21:34:00,堂食,双人套餐,1,68
QZ-20260628-01,2026-06-28 10:24:00,美团外卖,招牌牛肉面,2,48
QZ-20260628-02,2026-06-28 11:31:00,饿了么,红烧肥肠面,1,27
QZ-20260628-03,2026-06-28 12:38:00,堂食,番茄鸡蛋面,1,24
QZ-20260628-04,2026-06-28 13:45:00,堂食,酸辣粉,1,20
QZ-20260628-05,2026-06-28 10:52:00,堂食,招牌拌面,1,28
QZ-20260628-06,2026-06-28 11:59:00,美团外卖,小酥肉,1,26
QZ-20260628-07,2026-06-28 19:06:00,饿了么,卤蛋,1,2.25
QZ-20260628-08,2026-06-28 20:13:00,堂食,冰豆浆,1,6
QZ-20260628-09,2026-06-28 17:20:00,堂食,柠檬茶,1,10
QZ-20260628-10,2026-06-28 21:27:00,堂食,双人套餐,1,68
QZ-20260628-11,2026-06-28 12:34:00,美团外卖,招牌牛肉面,1,24
QZ-20260628-12,2026-06-28 13:41:00,饿了么,红烧肥肠面,2,72
QZ-20260628-13,2026-06-28 10:48:00,堂食,番茄鸡蛋面,1,24
QZ-20260628-14,2026-06-28 11:55:00,堂食,酸辣粉,1,20
QZ-20260628-15,2026-06-28 12:02:00,堂食,招牌拌面,1,28
QZ-20260628-16,2026-06-28 13:09:00,美团外卖,小酥肉,1,19.5
QZ-20260628-17,2026-06-28 17:16:00,饿了么,卤蛋,1,2.25
QZ-20260629-01,2026-06-29 11:27:00,饿了么,招牌牛肉面,2,48
QZ-20260629-02,2026-06-29 12:34:00,堂食,红烧肥肠面,1,36
QZ-20260629-03,2026-06-29 13:41:00,堂食,番茄鸡蛋面,1,24
QZ-20260629-04,2026-06-29 10:48:00,堂食,酸辣粉,1,20
QZ-20260629-05,2026-06-29 11:55:00,美团外卖,招牌拌面,1,28
QZ-20260629-06,2026-06-29 12:02:00,饿了么,小酥肉,1,19.5
QZ-20260629-07,2026-06-29 20:09:00,堂食,卤蛋,1,3
QZ-20260629-08,2026-06-29 17:16:00,堂食,冰豆浆,1,6
QZ-20260629-09,2026-06-29 18:23:00,堂食,柠檬茶,1,10
QZ-20260629-10,2026-06-29 21:30:00,美团外卖,双人套餐,1,51
QZ-20260629-11,2026-06-29 13:37:00,饿了么,招牌牛肉面,1,32
QZ-20260629-12,2026-06-29 10:44:00,堂食,红烧肥肠面,2,72
QZ-20260629-13,2026-06-29 11:51:00,堂食,番茄鸡蛋面,1,24
QZ-20260629-14,2026-06-29 12:58:00,堂食,酸辣粉,1,20
QZ-20260629-15,2026-06-29 13:05:00,美团外卖,招牌拌面,1,21
QZ-20260629-16,2026-06-29 10:12:00,饿了么,小酥肉,1,19.5
QZ-20260629-17,2026-06-29 18:19:00,堂食,卤蛋,1,3
QZ-20260629-18,2026-06-29 19:26:00,堂食,冰豆浆,1,6
QZ-20260630-01,2026-06-30 12:30:00,堂食,招牌牛肉面,2,64
QZ-20260630-02,2026-06-30 13:37:00,堂食,红烧肥肠面,1,36
QZ-20260630-03,2026-06-30 10:44:00,堂食,番茄鸡蛋面,1,24
QZ-20260630-04,2026-06-30 11:51:00,美团外卖,酸辣粉,1,20
QZ-20260630-05,2026-06-30 12:58:00,饿了么,招牌拌面,1,21
QZ-20260630-06,2026-06-30 13:05:00,堂食,小酥肉,1,26
QZ-20260630-07,2026-06-30 17:12:00,堂食,卤蛋,1,3
QZ-20260630-08,2026-06-30 18:19:00,堂食,冰豆浆,1,6
QZ-20260630-09,2026-06-30 19:26:00,美团外卖,柠檬茶,1,7.5
QZ-20260630-10,2026-06-30 21:33:00,饿了么,双人套餐,1,68
QZ-20260630-11,2026-06-30 10:40:00,堂食,招牌牛肉面,1,32
QZ-20260630-12,2026-06-30 11:47:00,堂食,红烧肥肠面,2,72
QZ-20260630-13,2026-06-30 12:54:00,堂食,番茄鸡蛋面,1,24
QZ-20260630-14,2026-06-30 13:01:00,美团外卖,酸辣粉,1,15
QZ-20260630-15,2026-06-30 10:08:00,饿了么,招牌拌面,1,21
QZ-20260630-16,2026-06-30 11:15:00,堂食,小酥肉,1,26
QZ-20260630-17,2026-06-30 19:22:00,堂食,卤蛋,1,3
QZ-20260630-18,2026-06-30 20:29:00,堂食,冰豆浆,1,6
QZ-20260630-19,2026-06-30 17:36:00,美团外卖,柠檬茶,1,10
